review_text,processed_text,predictions
"Pelayanan oke sekali, kamar VIPnya luas dan bersih, TV ada Netflix, kamar mandi air anget.. dokter dan perawat ramah-ramah.. operasi gigi bungsu disini sangat nyaman, minim sakit dan nggak pake bengkak",layan oke sekali kamar vipnya luas dan bersih tv ada netflix kamar mandi air anget dokter dan rawat ramah ramah operasi gigi bungsu sini sangat nyaman minim sakit dan tidak pakai bengkak,Positif
"Cabut gigi bungsu disini, tadinya takut ternyata ngga sakit sama sekali, dokter dan perawat ramah semua, pelayanan juga oke banget, rekomendasi buat yg mau cabut gigi bungsu, tapi sepertinya belum ada kerja sama dgn bpjs ya kayaknya",pergi gigi bungsu sini tadi takut nyata tidak sakit sama sekali dokter dan rawat ramah semua layan juga oke banget rekomendasi buat yang mau pergi gigi bungsu tapi seperti belum ada kerja sama dengan bpjs iya kayak,Negatif
"Lingkungannya bersih, nyaman, adem. Anak2 juga senang perawatan disini.",lingkung bersih nyaman adem anak juga senang rawat sini,Positif
"Jadwal jam 6 mundur jam 7.30, mundur 8.30 sampe 8.45 belum dateng. Kalo emang ndak bisa datang cancel aja. Respect waktu pasien juga please.",jadwal jam mundur jam mundur sampai belum datang kalau memang tidak bisa datang cancel saja respect waktu pasien juga please,Negatif
"Alhamdulillah sangat senang sekali ada Rumah sakit Khusus gigi dan mulut di jogja , jadi periksa makin dekat dan pelayanan dari staf dan dokter sangat ramah dan sigap , rumah sakitnya juga bersih , terimakasih RSGM UMY",alhamdulillah sangat senang sekali ada rumah sakit khusus gigi dan mulut di jogja jadi periksa makin dekat dan layan dari staf dan dokter sangat ramah dan sigap rumah sakit juga bersih terimakasih rsgm umy,Positif
"Sekarang rumah sakitnya sudah bagus. 4 tahun yang lalu saya kesini masih cat hijau belum seluas ini. Petugasnya ramah-ramah, jadi nyaman periksa gigi disini 😊 …",sekarang rumah sakit sudah bagus tahun yang lalu saya kesini masih cat hijau belum luas ini tugas ramah ramah jadi nyaman periksa gigi sini,Positif
"udah berkali-kali periksa gigi di RSGM, parkiran luas bisa bawa truck kesini, toilet juga bersih. selalu puas senyum semakin percaya diri.",sudah kali kali periksa gigi di rsgm parkir luas bisa bawa truck kesini toilet juga bersih selalu puas senyum makin percaya diri,Positif
Salah 2 dokter harus belajar customer service. Cara pelayanan ke pasien. Bukannya malah invalidasi perasaan pasien + menertawakan,salah dokter harus ajar customer service cara layan ke pasien bukan bahkan invalidasi asa pasien tertawa,Negatif
"Pelayanan baik, cos nya ramah..",layan baik cos nya ramah,Positif
"Tempat parkir mobilnya lumayan luas, bangunan bersih dan luas",tempat parkir mobil lumayan luas bangun bersih dan luas,Positif
Pelayanan yang ramah jadi nyaman didatangi jd g takut perawatan gigi,layan yang ramah jadi nyaman datang jadi tidak takut rawat gigi,Positif
Ga ekspek kalo ada toilet untuk pasien rawat jalan,tidak ekspek kalau ada toilet untuk pasien rawat jalan,Negatif
Aku numpang pake sunscreen di hehe,aku numpang pakai sunscreen di he,Positif
Bersih dan wangi pula,bersih dan wangi pula,Positif
Satpam dan pegawai yang jaga di depan juga ramah dan informatif,satu aman dan pegawai yang jaga di depan juga ramah dan informatif,Positif
"Ada mushola di atas, lupa lantai berapa, salut banget kalo pas jam sholat jamaahnya penuh banget ^^",ada mushola di atas lupa lantai berapa salut banget kalau pas jam sholat jamaah penuh banget,Negatif
Minusnya parkirannya sering penuh,minus parkir sering penuh,Positif
Jadwal praktek klinik pedodonty jam 14.30. tp sampai jam 17.00 dokter blm datang. Petugas dan asisten dokter ditanyai bilang nya belum tau kapan dokternya akan datang. Sangat tidak disiplin... Mgkin kedepan mohon lebih disiplin lg terkait waktu atau jadwal praktek....,jadwal praktek klinik pedodonty jam tapi sampai jam dokter belum datang tugas dan asisten dokter tanya bilang nya belum tahu kapan dokter akan datang sangat tidak disiplin mgkin depan mohon lebih disiplin lagi kait waktu atau jadwal praktek,Negatif
Deket ruma sat set pelayanan .. semoga semakin TOP pelayanan nya ..,dekat ruma sat set layan moga makin top layan nya,Positif
"Pelayanan Bedah Anak sangatttt BURUK… terihattt sangat meremehkan pasien..sy melihat banyak pasien2 yg bukan kelas atas, mungkin terbiasa memandang rendah pasien sehingga saat memberikan layanan BURUK TIDAK MINTA MAAF sama sekali.",layan bedah anak sangat buruk rihat sangat remeh pasien saya lihat banyak pasien yang bukan kelas atas mungkin biasa pandang rendah pasien sehingga saat beri layan buruk tidak minta maaf sama sekali,Negatif
"Antrian farmasinya lama sekali, saya 2 jam nunggu obat. Mohon dipercepar pegawainya dalam meracik obat, biar ga bkin pasien nunggu terlalu lama. Psalnya ada pasien yg hrus segera istirahat, dengan keadaan sakit begitu, nunggu obat lama banget itu menyiksa",antri farmasi lama sekali saya jam tunggu obat mohon dipercepar pegawai dalam racik obat biar tidak bkin pasien tunggu terlalu lama psalnya ada pasien yang harus segera istirahat dengan ada sakit begitu tunggu obat lama banget itu siksa,Negatif
Udah mecahin kaca helm cuma langsung pergi.,sudah mecahin kaca helm cuma langsung pergi,Positif
Tukang parkir gak ada sopan santun.,tukang parkir tidak ada sopan santun,Negatif
"Permisi admin mohon maaf sebelumnya izin untuk mengajukan keluhan terkait antrinya sudah hampir 3,5 jam padahal mau operasi cabut gigi tapi dokternya masih belum datang katanya masih ada praktek di RS PKU Gamping, mohon sekiranya penjadwalan disesuaikan dengan dokternya agar pasien tidak terlunta-lunta menunggu dikarenakan pasti juga punya kegiatan atau kesibukan masing-masing. terima kasih sebelumnya 🙏🏻",permisi admin mohon maaf belum izin untuk aju keluh kait antri sudah hampir jam padahal mau operasi pergi gigi tapi dokter masih belum datang kata masih ada praktek di rs pku gamping mohon sekira jadwal sesuai dengan dokter agar pasien tidak lunta lunta tunggu karena pasti juga punya giat atau sibuk masing masing terima kasih belum,Negatif
"Pelayanan security sangat buruk. Jauh2 saya datang dari Magelang hanya ingin menjenguk keponakan saya yg sedang sakit sudah 2 hari menangis tidak mau makan,tidak mau tidur ingin bertemu kerabatnya, namun ditolak mentah2 dan memberitahu dengan nada yg ketus dengan alibi spanduk bertuliskan ""anak dibawah umur dilarang masuk pdhl anak saya bukan bayi juga",layan security sangat buruk jauh saya datang dari magelang hanya ingin jenguk keponakan saya yang sedang sakit sudah hari menang tidak mau makan tidak mau tidur ingin temu kerabat namun tolak mentah dan memberitahu dengan nada yang ketus dengan alibi spanduk tulis anak bawah umur larang masuk padahal anak saya bukan bayi juga,Negatif
